date,sh.600819,sh.600830,sh.603326,sh.603506,sz.002362,sz.002659,sz.300248,sz.300694,sz.300771,sz.300884,sh.600824,sh.603015,sh.603569,sz.002889,sh.603313,sh.688597,sz.000755,sh.603070,sz.002614,sz.002140,sz.002671,sh.600587,sh.600850,sz.000816,sz.300999,sz.002086,sz.001260,sz.002187,sz.002697,sz.000014,sz.002133,sh.605300,sz.000407,sz.002571,sz.002672,sz.000524,sz.002232,sz.300479,sh.600720,sz.000428,sz.300960,sh.600746,sz.301039,sz.301206,sz.002101,sz.001325,sh.600960,sz.002205,sh.688819,sz.301509,sh.688334,sz.002333,sz.003038,sz.300384,sz.002416,sz.002912,sh.600272,sz.002900,sh.601038,sh.603188,sz.000049,sz.300405,sz.300713,sz.300542,sh.688161,sh.603686,sz.002188,sh.600336,sh.688269,sz.301073,sz.300906,sz.001391,sz.003000,sz.300215,sh.603150,sh.688280,sz.300808,sz.300279,sz.001373,sz.300406,sz.300647,sh.603856,sz.002058,sz.300880,sh.603776,sz.002806,sz.300982,sh.603386,sz.000652,sz.300858,sh.603937,sh.600171,sz.300177,sz.301555,sh.603266,sz.002301,sz.002867,sh.600185,sh.600333,sz.002495,sz.002991,sh.600358,sz.002616,sh.603109,sh.605011,sz.002242,sh.603809,sz.301638,sh.603185,sh.600983,sz.000036,sz.300539
2026-04-13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-14,,,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-15,,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,0.1,0.1,0.1,0.1,0.1,,,0.1,,0.1,,0.1,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,0.1,,0.1,,0.1,,,0.1,0.1,0.1,,0.1,0.1,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-21,,,0.1,,0.1,0.1,0.1,,,0.1,,0.1,0.1,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-22,,0.1,,,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,0.1,,0.1,,0.1,0.1,0.1,,,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-24,,,0.1,0.1,0.1,,0.1,,,0.1,0.1,,0.1,0.1,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
