date,sz.000001,sz.000009,sz.000011,sz.000012,sz.000017,sz.000019,sz.000025,sz.000026,sz.000028,sz.000030,sz.000029,sz.000007,sz.000031,sz.000032,sz.000027,sz.000014,sz.000008,sz.000020,sz.000035,sz.000036,sz.000006
2026-04-13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
2026-04-14,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-04-15,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-04-16,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-04-17,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-04-20,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-04-21,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-04-22,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-04-23,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,
2026-04-24,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,
2026-04-27,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,
2026-04-28,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,
2026-04-29,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,
2026-04-30,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,
2026-05-06,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,
2026-05-07,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,,,,,,,,
2026-05-08,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,,,,,,,,
2026-05-11,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,,,,,,,,
2026-05-12,0.1,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,
2026-05-13,0.1,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,
2026-05-14,0.1,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,
2026-05-15,0.1,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,
2026-05-18,0.1,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,
2026-05-19,0.1,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,
2026-05-20,0.1,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,
