date,sz.000008,sz.000011,sz.000012,sz.000017,sz.000020,sz.000025,sz.000026,sz.000029,sz.000032,sz.000037,sz.000014,sz.000027,sz.000034,sz.000007,sz.000019,sz.000030,sz.000035,sz.000001,sz.000031,sz.000036,sz.000006,sz.000028,sz.000009,sz.000002
2026-04-13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,
2026-04-20,0.1,,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
2026-04-27,,,0.1,0.1,0.1,0.1,,,0.1,0.1,,,0.1,0.1,0.1,0.1,,,,,,,,
2026-05-07,,,,0.1,0.1,0.1,0.1,,0.1,,,,0.1,0.1,0.1,0.1,0.1,,,,,,,
2026-05-14,,,,0.1,,0.1,,0.1,0.1,0.1,0.1,,0.1,,,0.1,,0.1,0.1,,,,,
2026-05-21,,,,0.1,0.1,,,0.1,0.1,,0.1,,,0.1,0.1,0.1,,0.1,0.1,,,,,
2026-05-28,,,,0.1,,,,0.1,0.1,,0.1,,,0.1,0.1,0.1,,0.1,0.1,0.1,,,,
2026-06-04,,,,0.1,,,,0.1,,,0.1,,0.1,0.1,0.1,0.1,,0.1,,,0.1,0.1,,
2026-06-11,,,,0.1,,,,,,,0.1,0.1,0.1,,0.1,0.1,,,,0.1,0.1,0.1,0.1,
2026-06-18,,0.1,,0.1,,,,,,,0.1,0.1,0.1,,0.1,0.1,,0.1,,,0.1,,0.1,
2026-06-26,,,,0.1,,,,,,,0.1,0.1,,0.1,,0.1,,0.1,0.1,0.1,0.1,,0.1,
2026-07-03,,0.1,,0.1,0.1,,,0.1,0.1,,0.1,,,,,0.1,,0.1,,,0.1,,0.1,
2026-07-10,,0.1,,0.1,,,,0.1,0.1,,,,,,0.1,0.1,,,0.1,,0.1,0.1,0.1,
2026-07-17,,0.1,,0.1,0.1,,,0.1,0.1,,0.1,,,,0.1,,0.1,,0.1,,0.1,,,
2026-07-24,,0.1,0.1,,0.1,,,0.1,0.1,0.1,0.1,,,0.1,,,0.1,,,,0.1,,,
2026-07-31,,,,,0.1,,,0.1,0.1,,0.1,,,0.1,,,0.1,,,0.1,0.1,,0.1,0.1
2026-08-07,,0.1,,,0.1,,,0.1,0.1,,0.1,,0.1,,,,0.1,,0.1,0.1,,,,0.1
2026-08-14,,,0.1,,0.1,0.1,,0.1,,0.1,,0.1,,,,,0.1,0.1,0.1,0.1,,,,
2026-08-21,,0.1,,,0.1,0.1,,0.1,,0.1,,,0.1,,,,0.1,0.1,0.1,0.1,,,,
2026-08-28,0.1,,,,,0.1,,,,0.1,0.1,,0.1,0.1,,0.1,0.1,,0.1,0.1,,,,
2026-09-04,0.1,0.1,,,0.1,,0.1,0.1,,0.1,,,,,,,0.1,,,0.1,,0.1,0.1,
2026-09-11,,0.1,0.1,,0.1,,0.1,0.1,,0.1,,,,,,,0.1,,,0.1,,0.1,0.1,
