date,sh.600850,sh.603109,sz.000503,sz.001373,sz.002671,sz.002989,sz.300248,sz.300808,sz.300876,sz.300884,sh.603188,sz.300399,sh.603313,sz.300810,sz.002205,sz.300154,sz.300542,sh.688216,sh.688228,sz.300982,sh.600983,sz.002131,sh.688582,sz.300479,sh.688280,sh.600841,sz.002912,sz.300960,sh.603776,sh.688332,sz.000524,sz.300279,sh.688819,sh.600499,sz.300979,sz.002140,sz.000816,sz.002627,sz.300998,sz.301206,sz.002195,sz.001260,sz.002470,sh.688158,sz.002242,sz.301110,sh.600746,sh.603185,sz.300384,sz.300411,sh.601778,sz.000626,sh.603150,sz.300738,sh.688129,sz.300713,sz.300961,sh.688269,sz.301202,sz.300215,sh.688161,sz.300450,sh.600748,sh.603076,sh.600540,sh.603391,sh.688586,sz.002181,sz.300906,sz.002188,sh.603920,sz.001330,sz.301073,sz.000595,sz.000688,sz.301356,sh.688307,sz.300316,sz.301419,sh.603688,sz.002058,sz.301123,sh.688368,sz.300620,sh.688323,sz.301377,sh.688628,sz.300400,sh.688757,sh.603266,sz.000407,sz.002616,sz.300880,sh.688141,sh.688795,sz.300223,sh.688065,sz.002362,sh.603070,sz.300370,sz.300539,sh.603559
2026-04-13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-15,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,0.1,,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,0.1,,,0.1,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,0.1,,,0.1,,,0.1,0.1,,0.1,0.1,0.1,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-21,0.1,,0.1,0.1,,,0.1,0.1,,0.1,0.1,0.1,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-22,0.1,,0.1,0.1,,,0.1,0.1,,0.1,0.1,0.1,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,0.1,,0.1,0.1,,,0.1,0.1,,0.1,0.1,0.1,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-24,0.1,,,0.1,,,0.1,0.1,,0.1,0.1,0.1,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
