date,sz.000006,sz.000007,sz.000009,sz.000011,sz.000020,sz.000025,sz.000026,sz.000028,sz.000029,sz.000034,sz.000001,sz.000017,sz.000032,sz.000019,sz.000030,sz.000027,sz.000031,sz.000014,sz.000037,sz.000008,sz.000002,sz.000036,sz.000035,sz.000012,sz.000021
2026-04-13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,
2026-04-16,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,
2026-04-21,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,
2026-04-24,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,
2026-04-29,,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,
2026-05-07,,0.1,,0.1,,0.1,,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-05-12,0.1,,,0.1,,0.1,,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-05-15,,,0.1,0.1,,0.1,,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-05-20,,0.1,0.1,0.1,0.1,0.1,,,0.1,,,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-05-25,0.1,0.1,0.1,0.1,,0.1,,,0.1,,,0.1,0.1,0.1,0.1,,,,,,,,,,
2026-05-28,0.1,0.1,0.1,0.1,0.1,0.1,,,0.1,,,,,0.1,,0.1,0.1,,,,,,,,
2026-06-02,0.1,0.1,0.1,0.1,0.1,0.1,,,0.1,,,0.1,,,,0.1,,0.1,,,,,,,
2026-06-05,0.1,0.1,,0.1,0.1,0.1,,,0.1,0.1,,,0.1,,,0.1,,0.1,,,,,,,
2026-06-10,0.1,0.1,,0.1,0.1,0.1,,,0.1,0.1,,,0.1,0.1,,,,0.1,,,,,,,
2026-06-15,0.1,0.1,,,0.1,0.1,,,,0.1,,0.1,0.1,,,0.1,0.1,0.1,,,,,,,
2026-06-18,0.1,0.1,,,,0.1,0.1,0.1,,,,0.1,,,,0.1,0.1,0.1,0.1,,,,,,
2026-06-24,0.1,0.1,,0.1,,0.1,0.1,0.1,,,,0.1,,,0.1,,0.1,0.1,,,,,,,
2026-06-29,,0.1,,0.1,,0.1,0.1,0.1,,,,0.1,,,0.1,,0.1,0.1,0.1,,,,,,
2026-07-02,,0.1,,0.1,0.1,0.1,,0.1,,,0.1,,,,0.1,,0.1,0.1,0.1,,,,,,
2026-07-07,,0.1,0.1,0.1,0.1,0.1,,,,0.1,0.1,,,,,,0.1,0.1,0.1,,,,,,
2026-07-10,,0.1,,0.1,0.1,0.1,,0.1,,,0.1,0.1,,,,,0.1,0.1,,0.1,,,,,
2026-07-15,,0.1,,0.1,0.1,0.1,,0.1,,,0.1,,,0.1,,,0.1,0.1,,,0.1,,,,
2026-07-20,,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,0.1,,,,,,,,,,,
2026-07-23,,0.1,,0.1,0.1,0.1,,0.1,0.1,,0.1,0.1,,0.1,,,,,,,0.1,,,,
2026-07-28,,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,,,,,,,,0.1,0.1,,,,
2026-07-31,,,,,0.1,0.1,0.1,0.1,,,0.1,0.1,,,0.1,,,0.1,,0.1,0.1,,,,
2026-08-05,,,,0.1,0.1,0.1,0.1,0.1,,,,0.1,,0.1,0.1,,,0.1,,0.1,,,,,
2026-08-10,0.1,,,,0.1,0.1,0.1,0.1,,,,0.1,,0.1,0.1,,,0.1,,0.1,,,,,
2026-08-13,,,,,0.1,0.1,,0.1,0.1,0.1,,0.1,,0.1,0.1,,,0.1,,0.1,,,,,
2026-08-18,,0.1,,,0.1,0.1,,0.1,,0.1,,0.1,,,0.1,,0.1,0.1,,0.1,,,,,
2026-08-21,,,,,,0.1,,0.1,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,,,
2026-08-26,,,,0.1,,0.1,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,
2026-08-31,,0.1,,,0.1,0.1,,,,,,0.1,,0.1,,,,0.1,0.1,0.1,,0.1,0.1,,
2026-09-03,,0.1,0.1,,0.1,0.1,,,,,,,0.1,,0.1,,,0.1,,0.1,,0.1,,0.1,
2026-09-08,0.1,,,,0.1,0.1,,,0.1,,,,0.1,,0.1,,,0.1,,0.1,,0.1,,,0.1
2026-09-11,0.1,,,,,0.1,,,0.1,,,,0.1,,0.1,,,0.1,,0.1,,0.1,0.1,,0.1
2026-09-16,0.1,0.1,,0.1,,0.1,,,0.1,,,,0.1,,,0.1,,0.1,,,,0.1,,,0.1
